Nama Cabang,Provinsi,id,name,state_code,latitude,longitude,type
SKTADI,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SMNNGA,DI Yogyakarta,1829.0,DI Yogyakarta,YO,-7.87538490,110.42620880,province
TBNBAS,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SDATEU,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SMGSET,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SBYMEN,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
CBNTEN,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BDGSET,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
GSKSUD,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BTUSUP,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SMGHAM,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
MGGTID,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
TGLSUD,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
MLGRON,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SBYMAN,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SMGSUD,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
PWTSOE,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SMGPAM,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
BDGUKU,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
KWGGAL,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
MLGSUP,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SBYSOE,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SMGSUK,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
BDGPAS,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SMGVET,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SKTSLA,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
DPKMAR,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SBYMAR,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
MLGTLO,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
MLGMON,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BGRPAD,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SKTURI,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SMNMAG,DI Yogyakarta,1829.0,DI Yogyakarta,YO,-7.87538490,110.42620880,province
KYBTEB,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
SBYSUN,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BDGDAG,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BKSJUA,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
CKRTHA,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SDAPAB,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BKSJAT,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
TNGCIL,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
YYKSON,DI Yogyakarta,1829.0,DI Yogyakarta,YO,-7.87538490,110.42620880,province
SBYKEN,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BDGGAT,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BDGSUR,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SMNAFF,DI Yogyakarta,1829.0,DI Yogyakarta,YO,-7.87538490,110.42620880,province
BDGBUA,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
PSNSOE,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
PWKTAM,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BKSBIN,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
DPKJAS,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BGRTAJ,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
MADSAL,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
GSKSUM,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SBYAHM,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BDGNAS,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BGRSAP,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
KYBKES,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
CPTPUS,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
SORTAM,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SBYTAN,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
BKSGOL,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
CBNPEM,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SDAGEL,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
CLPPAR,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
SDAPON,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SOLCOL,,,,,,,
CPTCIA,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
JAKKEB,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
DPKSAW,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BJNTEU,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
KWGAHM,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
TNGHAS,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
CMHAMI,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
CKGBOU,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
SURTUN,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
SDATAM,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
